name,lat,lon,elev,no_sites,Current Conditions,Fees,Open Season,Usage,Restrictions,Water,Restroom,Operated By,Information Center,url,Reservations,Passes,Closest Towns,Permit Info,Busiest Season,Best Season,restroom2,water2
Tahkenitch Campground,43.796562,-124.149608,NA,NA,"Campground open through September 30, 2018","Camping: $22 per night for single unit, two vehicle limitDay use: $5/Day/Vehicle or valid recreation pass.",5/1/2018 - 9/30/2018,Light,Camping Regulations,Potable Water,Flush Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42573&actid=29,Reserve online at www.recreation.gov or phone 877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,NA,NA,NA,NA,flush,potable water
Tahkenitch Landing Campground,43.8003414,-124.146752,NA,NA,Open year round.,"Camping: $22 per night for single unit, two vehicle limitDay use: $5/Day/Vehicle or valid recreation pass.",Year Round,Light,Camping Regulations,No,Vault Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42587&actid=29,"Reserve online at www.recreation.gov or phone 1.877.444.6777. From October 1, 2017 to April 30, 2018 all sites are first-come first-serve.",Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,NA,NA,NA,NA,vault,no
Eel Creek Campground,43.58942199,-124.1871265,NA,NA,"Open year round. 

Snowy Plover restrictions in place March 15 - September 15","Camping: $22 per night for single unit, two vehicle limitDay use: $5/Day/Vehicle",Year Round,Light,Camping Regulations,Potable Water,Flush Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42599&actid=29,Reserve online at www.recreation.gov or phone 877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,"Lakeside, OR
Reedsport, OR",NA,NA,NA,flush,potable water
Alder Dune Campground,44.0683346,-124.1017401,NA,39,Open year round.,$24/Night for single unit; $7 extra vehicle,Year Round,Light,Camping Regulations 8 person limit.,Potable Water,Vault Toilet,American Land & Leisure,"Campground: 541-997-2526Oregon Dunes Visitor Center
855 Highway 101
Reedsport, Oregon 97467
541-271-3611Central Coast Ranger District
1130 Forestry Lane
Waldport, Oregon 97394
541-563-8400",https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42333&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,NA,NA,NA,NA,vault,potable water
Blackberry Campground,44.3714045,-123.8352245,170,NA,NA,$5/vehicle/day or valid recreation pass.,Year Round,Light,NA,Potable Water,Flush Toilet ,Siuslaw National Forest,Central Coast Ranger District - Waldport Office,https://www.fs.usda.gov/recarea/siuslaw/recreation/recarea/?recid=42373,NA,Recreation Passes may be used as a form of fee payment.,NA,NA,NA,NA,flush,potable water
Riveredge Group Campground,44.3771908,-123.801798,NA,NA,"Campground opens May 18, 2018. Closes September 2, 2018.",$200/Night for 1-100 people 20 vehicle maximum,5/19/2018 - 9/2/2018,Light,Camping Regulations,Potable Water,Vault Toilet,American Land & Leisure,"Campground: 541-528-7725Central Coast Ranger District
1130 Forestry Lane
Waldport, Oregon 97394
541-563-8400",https://www.fs.usda.gov/recarea/siuslaw/recreation/recarea/?recid=42385,Reserve online at www.recreation.gov or phone 1.877.444.6777.,No passes honored.,NA,NA,NA,NA,vault,potable water
Canal Creek Campground,44.381458,-123.923907,130,NA,"Campground opens May 18, 2018. Closes September 2, 2018.","$140/Night for 1-50 people 10 vehicle maximum
	$200/Night for 50 -100 people 20 vehicle maximum",5/18/2018 - 9/2/2018,Light,Camping Regulations,No,Vault Toilet,American Land & Leisure,"Central Coast Ranger District, Waldport, Oregon",https://www.fs.usda.gov/recarea/siuslaw/recreation/recarea/?recid=42379,Reservable as group site only.  Individual sites not reservable. Reserve online at www.recreation.gov or phone 877.444.6777.,No passes honored.,NA,NA,NA,NA,vault,no
Big Elk Campground,44.54416667,-123.7219444,NA,NA,Open year round.,"Camping: $10/Night for single site, $5/Extra vehicle
	Day Use: $5/Day/Vehicle",Year Round,Light,Camping Regulations,Potable Water,No,Local community under special use permit.,"Central Coast Ranger District, Waldport, Oregon",https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42371&actid=29,NA,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,NA,NA,NA,NA,no,potable water
Blackberry Campground,44.37214,-123.835156,NA,NA,Open year round.,"Camping: $24/Night for single unit, $7/Night for extra vehicle
	Day use: $6/Day/Vehicle",Year Round,Medium,"Camping Regulations
	8 person limit",Potable Water,Vault Toilet,American Land & Leisure,"Campground: 541-528-7424Oregon Dunes Visitor Center
855 Highway 101
Reedsport, Oregon 97467
541-271-3611Central Coast Ranger District
1130 Forestry Lane
Waldport, Oregon 97394
541-563-8400",https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42375&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites,NA,NA,NA,NA,vault,potable water
Cape Perpetua Campground,44.28237,-124.10685,NA,NA,"Campground open through September 29, 2018","Camping: $26/Night for single unit. $7/Night for extra vehicle.
	Day use: $6/Day/Vehicle",3/9/2018 - 9/29/2018,Heavy,"Camping Regulations
	8 person limit",Potable Water,Flush Toilet ,American Land & Leisure,"Campground: 541-547-4580Cape Perpetua Visitor Center
2400 Highway 101
Yachats, Oregon 97498
541-547-3289Oregon Dunes Visitor Center
855 Highway 101
Reedsport, Oregon 97467
541-271-3611Central Coast Ranger District
1130 Forestry Lane
Waldport, Oregon 97394
541-563-8400",https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42273&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,NA,NA,NA,NA,flush,potable water
Marys Peak Campground,44.509267,-123.561465,NA,NA,"Campground open through September 30, 2018",$12 per night per single unit,5/1/2018 - 9/30/2018,Heavy,"See Camping Regulations for more information. NO dispersed camping is allowed within the Marys Peak Scenic Botanical Special Interest Area (T12S, R7W, Sections 19, 20, 21, 28, and 29). Camping is only allowed in the Marys Peak Campground.",No water available at Marys Peak,Toilet ,Siuslaw National Forest,"Central Coast Ranger District
Siuslaw Supervisor's Office",https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42317&actid=29,NO reservations,NA,"Corvallis, OR",NA,NA,NA,,no
North Fork Siuslaw Campground,44.101802,-123.938244,NA,NA,"Campground open through September 30, 2018",NA,5/1/2018 - 9/30/2018,Light,Camping Regulations,No water,Vault Toilet,Siuslaw National Forest,Central Coast Ranger District,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42413&actid=29,NA,NA,NA,NA,NA,NA,vault,no
Rock Creek Campground,44.18558,-124.11118,NA,NA,"Campground open through September 2, 2018.","Camping: $26/Night for single unit, $7/Night for extra vehicle.
	Day use: $6/Day/Vehicle",5/19/2018 - 9/2/2018,Medium,"Camping Regulations
	8 person limit",Potable Water,Vault Toilet,American Land & Leisure,"Campground: 541-547-5219Central Coast Ranger District
1130 Forestry Lane
Waldport, Oregon 97394
541-563-8400",https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42425&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,NA,NA,July-August,NA,vault,potable water
Tillicum Beach Campground,44.3673487,-124.0917363,NA,NA,Campground open year round.,"Camping: 

$26/Night for single unit, $7/Night for extra vehicle.
	$33 for electric hookup sites.
	[Discounts apply only to basic service, not electric]
Day use: $6/Day/Vehicle",Year Round,Heavy,"Camping Regulations
	8 person limit",Yes,Flush Toilet,American Land & Leisure,"Campground: 541-547-3679Cape Perpetua Visitor Center
2400 Highway 101
Yachats, Oregon 97498
541-547-3289Central Coast Ranger District
1130 Forestry Lane
Waldport, Oregon 97394
541-563-8400",https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42443&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,"Yachats, OR",NA,Summer,NA,flush,yes
Castle Rock Group Campground,45.17985886,-123.8180208,320,NA,Campground is open year round.,Group Campsite: $75 per night.  Maximum group size: 50 people.,Year Round,Light,Camping Regulations,No,Vault Toilet ,Siuslaw National Forest,Hebo Ranger District,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42679&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777,NA,"Hebo, OR",NA,NA,NA,vault,no
Hebo Lake Campground,45.23135,-123.7943,1,NA,"Campground open through November 1, 2018.",$18 per night,03/23/2018 - 11/01/2018,Medium,Camping Regulations,No,Vault Toilet ,Siuslaw National Forest,Hebo Ranger District,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42705&actid=29,"Reservations required for sites 3 and 4, sites 1,2,5-12 are walk-in sites. Reserve online at www.recreation.gov or phone 1.877.444.6777.",NA,"Hebo, OR",NA,Summer,Summer,vault,no
Rocky Bend Group Campground,45.239621,-123.6060299,640,NA,Currently closed for renovations.,NA,NA,Light,Camping Regulations,No,Vault Toilet ,Siuslaw National Forest,Hebo Ranger District,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42687&actid=29,NA,NA,NA,NA,NA,NA,vault,no
