name,lat,lon,elev,no_sites,Reservations,Fees,Open Season,Restrictions,Water,Restroom,Operated By,Information Center,url,Usage,Area Amenities,Closest Towns,Passes,Permit Info,Current Conditions,restroom2,water2
Cultus Lake Campground,43.8377,-121.83335,4700,55,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee:  $18/first vehicle; $9/each additional vehicle.",NA,Maximum site spur length is 30 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38836&actid=29,Heavy,NA,NA,NA,NA,NA,vault,potable water
Devils Lake Campground,44.03336,-121.7667,5450,6,Reservations are not currently available for this site.,$5/vehicle/day or recreation passes are also accepted as payment.,June - October,Walk in camping only. No motorized boats in Devils Lake.,No,Vault Toilet ,NA,NA,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38846&actid=29,Heavy,NA,NA,There is no fee to camp but the parking area is a Recreation Fee Area.  Fee season is May 1st - September 30th.  Click here for passes that are accepted.,NA,NA,vault,no
Elk Lake Campground,43.81725,-121.8069,4900,22,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $14/first vehicle; $7/each additional vehicle.",6/15/2017 - 9/25/2017,Maximum site spur length is 26 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Services,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38860&actid=29,Heavy,NA,NA,NA,NA,NA,vault,potable water
Gull Point Campground,43.70549,-121.75789,4300,74,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $18/first vehicle; $9/each additional vehicle.  Multi-site: $34.  Group site: $65.  Dump Station: $10. For reservations visit recreation.gov NOTE: Holders of a Golden Age and Golden Access Passports and Senior and Access Passes are entitled to the following discounts on expanded amenity recreation fees: -  A 50 percent discount on the fee for a single camping unit. This discount does not apply to use of a cabin, lookout, double camping unit, triple camping unit, group camping unit, extra vehicle fees, or any additional camping units and separately charged utility, water, hook-up or day use fees.",4/19/2017 - 10/31/2017,Maximum site spur length is 30 feet.,Potable Water,Flush and Vault Toilets,Hoodoo Recreation Service,Located within the Cascade Lakes area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38874&actid=29,Heavy,NA,NA,NA,NA,NA,flush and vault,potable water
Lava Lake Campground,43.91357,-121.76742,4750,38,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $16/first vehicle; $8/each additional vehicle. Multi-Site: $30. NOTE: Holders of a Golden Age and Golden Access Passports and Senior and Access Passes are entitled to the following discounts on expanded amenity recreation fees: -  A 50 percent discount on the fee for a single camping unit. This discount does not apply to use of a cabin, lookout, double camping unit, triple camping unit, group camping unit, extra vehicle fees, or any additional camping units and separately charged utility, water, hook-up or day use fees.",6/8/2017 - 10/9/2017,Maximum site spur length is 30 feet.  No motorized or mechanized vehicles allowed on Wilderness trails.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38894&actid=29,Heavy,NA,NA,NA,NA,NA,vault,potable water
Little Cove Boat-In Campgrounds,43.84478,-121.847822,4700,5,Reservations are not currently available for this site.,Day use: $5/vehicle/day at Cultus Lake Boating Site and Cultus Lake Picnic Site.,6/28/2017,NA,No,Composting Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38904&actid=29,Heavy,NA,NA,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.
	Day use: Recreation Passes may be used as a form of fee payment.",NA,NA,composting,no
Little Cultus Campground,43.80102,-121.86307,4800,31,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $16/first vehicle; $8/each additional vehicle.",5/25/2017 - 9/25/2017,Maximum site spur length is 30 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38906&actid=29,Light-Medium,NA,NA,NA,NA,NA,vault,potable water
Little Fawn Campground,43.96293,-121.796614,4900,20,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $16/first vehicle; $8/each additional vehicle. For reservations visit recreation.gov",6/15/2017 - 9/10/2017,Maximum site spur length is 30 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38910&actid=29,Light-Medium,NA,NA,NA,NA,NA,vault,potable water
Little Lava Lake Campground,43.90969,-121.76766,4750,13,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $14/first vehicle; $7/each additional vehicle.  Group Site: $50.  For reservations visit recreation.gov NOTE: Holders of a Golden Age and Golden Access Passports and Senior and Access Passes are entitled to the following discounts on expanded amenity recreation fees: -  A 50 percent discount on the fee for a single camping unit. This discount does not apply to use of a cabin, lookout, double camping unit, triple camping unit, group camping unit, extra vehicle fees, or any additional camping units and separately charged utility, water, hook-up or day use fees.",6/8/2017 - 10/9/2017,Maximum site spur length is 30 feet.  No motorized or mechanized vehicles allowed on Wilderness trails.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38916&actid=29,Medium-Heavy,NA,NA,NA,NA,NA,vault,potable water
Mallard Marsh Campground,43.96335,-121.78567,5e3,15,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.",6/15/2017 - 9/25/2017,Maximum site spur length is 26 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38920&actid=29,Heavy,NA,NA,NA,NA,NA,vault,no
North Davis Creek Campground,43.67349,-121.8245,4350,14,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.",5/8/2017 - 9/10/2017,Maximum site spur length is 26 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,NA,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38932&actid=29,Light,NA,NA,NA,NA,NA,vault,potable water
North Twin Lake Campground,43.7317,-121.764038,4350,20,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $14/first vehicle; $7/each additional vehicle.",4/20/2017 - 10/31/2017,Maximum site spur length is 30 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38938&actid=29,Medium-Heavy,NA,NA,NA,NA,NA,vault,no
Point Campground,43.96674,-121.80867,4900,8,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $14/first vehicle; $7/each additional vehicle. Multi-site: $26.",6/15/2017 - 9/25/2017,Maximum site spur length is 26 feet.,No,Yes,Hoodoo Recreation Services,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38950&actid=29,Heavy,NA,NA,NA,NA,NA,yes,no
Quinn River Campground,43.786317,-121.83587,4450,41,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $14/first vehicle; $7/each additional vehicle.",5/18/2017 - 9/10/2017,Maximum site spur length is 30 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38958&actid=29,Light-Medium,NA,NA,NA,NA,NA,vault,potable water
Reservoir Campground,43.670455,-121.770461,4350,24,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle, $5/each additional vehicle.",NA,Maximum site spur length is 30 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes Area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38966&actid=29,Light,NA,NA,NA,NA,NA,vault,no
Rock Creek Campground,43.76613,-121.83597,4450,30,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Camping: Per night, per site fee: $16/first vehicle; $8/each additional vehicle.  Multi-site: $30. 
	Day use: $5/vehicle/day at Rock Creek Boating Site and picnic area or valid recreation pass.
NOTE: Holders of a Golden Age and Golden Access Passports and Senior and Access Passes are entitled to the following discounts on expanded amenity recreation fees: -  A 50 percent discount on the fee for a single camping unit. This discount does not apply to use of a cabin, lookout, double camping unit, triple camping unit, group camping unit, extra vehicle fees, or any additional camping units and separately charged utility, water, hook-up or day use fees.",5/18/2017 - 9/25/2017,Maximum site spur length is 30 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38974&actid=29,Light-Medium,NA,NA,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.
	Day use: Recreation Passes may be used as a form of fee payment.",NA,NA,vault,potable water
Sheep Bridge Campground,43.73082,-121.77502,4350,20,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $12/first vehicle; $6/each additional vehicle. Group site: $30.",4/27/2017 - 10/31/2017,Maximum site spur length is 30 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38982&actid=29,Light,NA,NA,NA,NA,NA,vault,potable water
Soda Creek Campground,44.0254,-121.72722,5450,10,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.",NA,Maximum site spur length is 30 feet.  No motorboats on Sparks Lake.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38992&actid=29,Medium-Heavy,NA,NA,NA,NA,NA,vault,no
South Campground,43.96226,-121.78657,5e3,23,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Camping: Per night, per site fee: $12/first vehicle; $6/each additional vehicle.
	Day use: $5/vehicle/day at Hosmer Lake Boating Site, which is adjacent to South Campground.",6/15/2017 - 9/25/2017,Maximum site spur length is 26 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38996&actid=29,Heavy,NA,NA,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.
	Day use: Recreation Passes may be used as a form of fee payment.",NA,NA,vault,no
South Twin Lake Campground,43.71475,-121.7713,4350,21,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $18/first vehicle; $9/each additional vehicle. NOTE: Holders of a Golden Age and Golden Access Passports and Senior and Access Passes are entitled to the following discounts on expanded amenity recreation fees: -  A 50 percent discount on the fee for a single camping unit. This discount does not apply to use of a cabin, lookout, double camping unit, triple camping unit, group camping unit, extra vehicle fees, or any additional camping units and separately charged utility, water, hook-up or day use fees.",4/20/2017 - 10/9/2017,Maximum site spur length is 26 feet.  Non-motorized boats only.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes Area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39002&actid=29,Heavy,NA,NA,NA,NA,NA,vault,potable water
Todd Lake Campground,44.02474,-121.6834,6200,NA,Reservations are not currently available for this site.,NA,NA,"Do not remove frogs or tadpoles from Todd Lake.  Todd Lake is home for the Western Toad and Cascade Frog.  Both of these species are threatened by loss of wetlands, habitat degredation, and environmental changes.  They are protected by the Oregon Department of Fish and Wildlife and collecting of these species is illegal and punishable with a fine of $1250.00 (OAR 6330440130).",No,Vault Toilet ,NA,NA,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39022&actid=29,Heavy,NA,NA,There is no fee for camping but this is a Recreation Fee Area.  Fee season is from May 1st - September 30th.  Click here for passes that are accepted.,NA,NA,vault,no
West South Twin Campground,43.71478,-121.7727,4350,24,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $16/first vehicle; $8/each additional vehicle.",4/20/2017 - 9/25/2017,Maximum site spur length is 30 feet.,Potable Water,Flush Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39030&actid=29,Light-Medium,NA,NA,NA,NA,NA,flush,potable water
Contorta Flat Campground,43.45919,-121.99653,4850,18,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $12/first vehicle; $6/each additional vehicle. NOTE: Holders of a Golden Age and Golden Access Passports and Senior and Access Passes are entitled to the following discounts on expanded amenity recreation fees: -  A 50 percent discount on the fee for a single camping unit. This discount does not apply to use of a cabin, lookout, double camping unit, triple camping unit, group camping unit, extra vehicle fees, or any additional camping units and separately charged utility, water, hook-up or day use fees.",6/8/2017 - 9/25/2017,Maximum site spur length is 35 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Crescent area of the Deschutes National Forest; operated by Hoodoo Recreational Services.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39050&actid=29,Medium,NA,NA,NA,NA,NA,vault,no
Contorta Point Group Campground,43.460313,-122.001353,4850,NA,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $65. For reservations visit  recreation.gov",6/8/2017 - 9/25/2017,Maximum site spur length is 35 feet.,No,Vault Toilet,Concessionaire,Located within the Crescent area of the Deschutes National Forest; operated by Hoodoo Recreational Services.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39052&actid=29,Heavy,NA,NA,NA,NA,NA,vault,no
Crescent Creek Campground,43.498588,-121.8464,4500,9,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $14/first vehicle; $7/each additional vehicle. Multi-site is $26/night.",5/25/2017,Maximum site spur length is 50 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Crescent area of the Deschutes National Forest; operated by Hoodoo Recreational Services.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39058&actid=29,Light,NA,NA,NA,NA,NA,vault,potable water
Crescent Lake Campground,43.50322,-121.97455,4850,38,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee
	$18/first vehicle; $9/each additional vehicle, Yurt fees:  $30/ $40. For Yurt reservations visit recreation.gov",5/16/2017,Maximum site spur length is 50 feet.,Potable Water,Vault Toilet,Hoo Doo recreation Services,Located within the Crescent area of the Deschutes National Forest; operated by Hoodoo Recreation Services. See also nearby Crescent Lake Resort.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39060&actid=29,Heavy,NA,NA,NA,NA,NA,vault,potable water
East Davis Lake Campground,43.5867,-121.85667,4400,17,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $12/first vehicle; $6/each additional vehicle.",4/27/2017 - 9/25/2017,Maximum site spur length is 50 feet.  Davis Lake is a fly-fishing only lake with speed restrictions.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within Cascade Lakes area of Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38854&actid=29,Light,NA,NA,NA,NA,NA,vault,potable water
Princess Creek Campground,43.58641,-122.00883,4800,32,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $14/first vehicle; $7/each additional vehicle. Multi-sites are $26/night.",5/25/2017 - 9/10/2017,Maximum site spur length is 50 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Crescent area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39088&actid=29,Light-Medium,NA,NA,NA,NA,NA,vault,no
Spring Campground,43.457763,-122.01999,4850,69,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $16/first vehicle; $8/each additional vehicle.  Multi-Site: $30(includes first two vehicles); and $8/each additional vehicle. Group Site: $125. 12 campsites (57 - 68) can be reserved as a Group Site.  For reservations visit recreation.gov NOTE: Holders of a Golden Age and Golden Access Passports and Senior and Access Passes are entitled to the following discounts on expanded amenity recreation fees: -  A 50 percent discount on the fee for a single camping unit. This discount does not apply to use of a cabin, lookout, double camping unit, triple camping unit, group camping unit, extra vehicle fees, or any additional camping units and separately charged utility, water, hook-up or day use fees.",6/8/2017 - 10/31/2017,Maximum site spur length is 50 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Crescent area of the Deschutes National Forest; operated by Hoodoo Recreation Services.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39102&actid=29,Light,NA,NA,NA,NA,NA,vault,potable water
Sunset Cove Campground,43.5621,-121.96219,4800,20,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $16/first vehicle; $8/each additional vehicle. Mutli-site: $30.",5/9/2017 - 10/31/2017,Maximum site spur length is 50 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Crescent area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=39112&actid=29,Medium,NA,NA,NA,NA,NA,vault,potable water
