name,lat,lon,elev,no_sites,Current Conditions,Reservations,Fees,Open Season,Usage,Restrictions,Closest Towns,Water,Restroom,url,Passes,Operated By,Information Center,Permit Info,Operational Hours,Area Amenities,Best Season,restroom2,water2
Little Badger Campground,45.2817,-121.3462,2700,3,NA,No reservations,Free,May 15,Light,"Vehicles 16 ft. max. All mechanized vehicles prohibited in the wilderness, including game carts and mountain bikes.","Dufur, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52828&actid=29,NA,NA,NA,NA,NA,NA,NA,vault,no
Lower Eightmile Crossing Campground,45.41361,-121.44371,3800,3,NA,NA,"Camping: $12/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle","May 15, 2018 - October 15, 2018",Light,Vehicles 16 ft. max.,"Dufur, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52832&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
McCubbins Gulch Campground,45.11671,-121.4938,3e3,15,"Open for the season, no services are provided - you must pack in/pack out",No reservations,"Camping: $12/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle","May 18, 2018 - Sep 09, 2018",Heavy,Vehicles 25 ft. max.,"Maupin, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52834&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
McCubbins Overflow Campground,45.119,-121.4986,3e3,4,Open to camping but no services are provided - you must pack in/pack out,No reservations,"Camping: $11/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",05/20,Light,Vehicles 25 ft. max. Do not tresspass onto tribal land.,"Maupin, OR",No,Yes,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53562&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Forest Service,NA,A permit from the Warm Springs Tribal Offices is required to fish in tribal waters.,NA,NA,NA,yes,no
Pebble Ford Campground,45.40024,-121.46362,4200,3,NA,No reservations,"Camping: $12/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle","May 15, 2018 - Oct. 15, 2018",Light,Vehicles 16 ft. max.,"Dufur, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52838&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: No passes honored.",Concessionaire,NA,NA,NA,NA,NA,vault,no
Rock Creek Reservoir Campground,45.21705,-121.38473,2200,33,"Open for the season, no services are provided - you must pack in/pack out.",Call 877-444-6777 or go to Recreation.gov to make reservations,"Camping: $21-22/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle","April 13, 2018 - September 09, 2018",Heavy,Vehicles 35 ft. max. Only electric trolling motors allowed.,"Wamic, OR",Potable Water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52842&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,potable water
Spring Drive RV Campground,NA,NA,NA,NA,NA,This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777) or on-line at http://www.recreation.gov,8 sites available/$29.00 per site,"April 06, 2018 - Sep 30, 2018",Light,NA,"Maupin, OR",NA,NA,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=80483&actid=29,NA,Concessionaire,NA,NA,NA,NA,NA,NA,NA
White River Station Campground,45.19984,-121.60107000000001,3e3,5,NA,No reservations,"Camping: $14/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle","May 15, 2018",Light,Vehicles 32 ft. max. See Oregon regulations for specific restrictions on fishing the White River.,"Wamic, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52844&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
Armstrong Campground,45.162761,-122.152211,900,NA,Open with services,Reservations must be made at least 4 days in advance. To reserve a site call Reserve America at 1-877-444-6777 or through the Internet at www.recreation.gov.,"Camping: $19/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",April  - Sept.30/18,Medium-Heavy,Vehicles 16 ft max. See Oregon fishing regulations for specific regulations governing fishing in the Clackamas. No all-terrain or off-highway vehicles allowed in campground. Pets must be leashed at all times. Quiet hours are between 10:00 PM and 6:00 AM.  Maximum 6 people per site. Fires must be contained within provided fire circles. Campsite must be occupied the first night. Vehicles must be parked on the spur.,"Estacada, OR",Bring your own drinking water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52878&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,"20% of campground sites are held for ""first come first serve.""",Not required,NA,NA,NA,vault,bring your own drinking water
Bagby Campground,44.954175,-122.168917,NA,NA,06/11/2017: trail clear,"All sites are first come, first served.","Camping:

	$17/night for single site, $8/night for extra vehicle
		 
	
	Day use: $5/day/vehicle per person","Year 'round, 2018 - 4/06",Medium-Heavy,NA,NA,Please bring your own drinking water.,Vault toilets,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=79271&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Wrist bands can be purchased at the Ripplbrook Store or can be purchased on site",Concessionaire,NA,NA,"Open 24 hours a day, 7 days a week during open season. Closes on  September 7 each season.","Tent camping,Picnic tables,Toilets,Parking",NA,vault,please bring your own drinking water.
Breitenbush Lake Campground,44.7678,-121.7825,5200,20,NA,NA,No Fee,NA,Light,Pack out all garbage. Motorized boats are prohibited.,"Detroit, OR",bring your own drinking water,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52888&actid=29,NA,Warm Springs Reservation,Warm Springs Natural Resources  541-55.-2001  ext 1236 Theresa Vanpelt.,NA,NA,NA,NA,vault,bring your own drinking water
Camp Ten (Olallie Lake) Campground,44.80312,-121.78957,5e3,10,NA,First come first served.  pack in/ pack out,"Camping: 

$15/night for single site
	$20/night for premium site
	$5/night for extra vehicle",June 19th 2016 - Nov. 6th,Medium-Heavy,Vehicles 16 ft. max.   (Single regular) $15 extra Vehicle $5   (water front)$20  extra Vehicle $5,"Detroit, OR",Bring your own drinking water.,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52898&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Acces, Golden Age or Golden Access.",Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water.
Carter Bridge Campground,45.16821,-122.15728,900,15,NA,Reservations must be made at least 4 days in advance. To reserve a site call Reserve America at 1-877-444-6777 or through the internet at www.recreation.gov.,"Camping: $17/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",May - Sept. 03/18,Medium-Heavy,Vehicles 28 ft. max.,"Estacada, OR",bring your own drinking water,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52858&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water
Fish Creek Campground/Day Use,45.158889,-122.151669,900,24,NA,Reservations must be made at least 4 days in advance. To reserve a site call Reserve America at 1-877-444-6777 or through the internet at www.recreation.gov (International 518-885-3639 or TDD 877-833-6777.),"Camping: $21/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle


Pay at trailhead with cash or check only between May - October.",May - Sept.09/18,Medium-Heavy,Vehicles 16 ft. max. See Oregon fishing regulations for specific regulations governing fishing in the Clackamas.,"Estacada, OR",Bring your own drinking water.,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52924&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,Clackamas River Ranger District 503-630-6861,NA,NA,NA,NA,vault,bring your own drinking water.
Hideaway Lake Campground,45.123431,-121.967281,4500,9,NA,NA,"Camping: $19/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",June  - Sept.,Medium,Vehicles 16 ft. max.      11/05/15 - be prepared for winter traviel  it has a couple of inches of snow in the area.,NA,Bring your own drinking water.,No,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52938&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessaire,NA,NA,NA,Toilets,NA,no,bring your own drinking water.
Horseshoe Lake Campground,44.779819,-121.785381,5200,6,""" Primitive road - Not suitable for PASSENGER CARS""","www.Olallie Lake Resort, LLC","Camping: 

$15/night for single site
	$20/night for premium site
	$5/night for extra vehicle",June  2016,Light,"Vehicles 16 ft. max. Mechanized vehicles prohibited in the wilderness, including mountain bikes and game carts.","Estacada, OR",bring your own drinking water,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52944&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Acces, Golden Age or Golden Access.",Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water
Indian Henry Campground,45.108561,-122.0759,1250,86,"Section "" C""  and some on section ""B""   2017.","Reservations must be made at least 4 days in advance. To reserve a site call Reserve America at 1-877-444-6777 or through the internet at www.recreation.gov (International 518-885-3639 or TDD 877-833-6777). Only ""C"" and ""B"" sections are open.","Camping: $22/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",May - Sept. 09/18,Heavy,Vehicles 36 ft. max.,"Estacada, OR",Potable Water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52950&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,potable water
Kingfisher Campground,44.977069,-122.092611,1250,23,NA,This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777) or online at www.recreation.gov.,"Camping:

	$22/night for single site, $8/night for extra vehicle
		$44/night for double site
	
	Day use: $5/day/vehicle",May - Sept. 09/18,Light,Vehicles 36 ft. max.,"Estacada, OR",Drinking water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52954&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,drinking water
Lake Harriet Campground/Day Use,45.073611,-121.956944,2e3,11,NA,"This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). Questions: call PGE Parks, 503-464-8515","Camping: $16/night for single unit, $8/extra vehicle
	Day use: $5/day/vehicle (Concession Operated Forest Service Day Use Site with a Fee)",May 2016,Heavy,Vehicles 30 ft. max,"Estacada, OR",Potable Water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52956&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Northwest Forest Pass may be used as a form of fee payment.",Concessionaire,PGE  - Portland General Electric Parks 503-464-8515.,NA,NA,NA,NA,vault,potable water
Lazy Bend Campground,45.190369,-122.207589,800,21,NA,This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777).,"Camping: $22/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",April - Oct. 07/18,Medium-Heavy,Vehicles 24 ft. max.,"Estacada, OR",Potable Water,Flush Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52958&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,flush,potable water
Lockaby Campground,45.163481,-122.151919,900,30,NA,This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777).,"Camping: $22/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",May - Sept. 09/18,Light,Vehicles 16 ft. max.,"Estacada, OR",Bring your own drinking water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52962&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water
Lower Lake Campground,44.823142,-121.796392,4600,8,NA,NA,"Camping: 

$15/night for single site
	$20/night for premium site
	$5/night for extra vehicle",June 2016,Light,Vehicles 16 ft. max.,"Estacada, OR",bring your own drinking water,No,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52966&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Acces, Golden Age or Golden Access.",Concessionaire,NA,NA,NA,NA,NA,no,bring your own drinking water
Olallie Meadow Campground,44.8602,-121.7729,4500,7,NA,NA,"Camping: 

$15/night for single site
	$20/night for premium site
	$5/night for extra vehicle",June,Medium,NA,"Estacada, OR",bring your own water to drink,No,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52982&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Acces, Golden Age or Golden Access.",Concessionaire,"WWW.OlallieLakeResort, LLC",NA,NA,NA,NA,no,bring your own water to drink
Paul Dennis (Olallie Lake) Campground,44.812161,-121.78715,5e3,17,NA,"First come, first serve basis","Camping: 

$15/night for single site
	$20/night for premium site
	$5/night for extra vehicle",June 2016,Medium-Heavy,Vehicles 16 ft. max.,"Estacada, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52990&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Acces, Golden Age or Golden Access.",Concessionaire,NA,NA,NA,NA,NA,vault,no
Peninsula (Olallie Lake) Campground,44.800381,-121.785639,4941,35,NA,First come first service,"Camping: 

$15/night for single site
	$20/night for premium site
	$40/night for group site
	$5/night for extra vehicle",NA,Medium-Heavy,NA,"Detroit, OR",Bring your own drinking water.,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52994&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Acces, Golden Age or Golden Access.",Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water.
Raab Campground,45.024994444444445,-122.06715833333332,1500,26,NA,This site can be reserved by calling  1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). This is a group site only.,"Camping: $55-$76/night for group sites, $8/night for extra vehicle",May - Sept. 16/18,Medium,Vehicles 24 ft. max.,"Estacada, OR",Bring your own drinking water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53000&actid=29,No passes honored.,Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water
Rainbow Campground,45.078831,-122.04325,1400,17,Closed - Road work begins 5/23/18 and will continue for most of summer.,This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777),"Camping: $19/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",Jun - Sept.19/18,Light,Vehicles 24 ft. max.,"Estacada, OR",Bring your own drinking water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53002&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water
Ripplebrook Campground,45.0801,-122.042531,1500,13,NA,This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777).,"Camping: $19/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",April - Spet. 30/18,Light,Vehicles 16 ft. max.,"Estacada, OR",Bring your own drinking water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53010&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water
Riverford Campground,45.032661,-122.058231,1500,10,NA,NA,"Camping: $19/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",May 19th  2017,Light,Vehicles 16 ft. max.,"Estacada, OR",Bring your own drinking water,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53012&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,bring your own drinking water
Riverside Campground,45.04305,-122.061711,1400,16,"Reservation season will be closing in September ""No Services""",This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777).,"Camping: $19/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",May - Sept. 09/18,Medium,Vehicles 24 ft. max.,"Estacada, OR",Bring your own drinking water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53014&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,maintenance 4/15/17,NA,NA,NA,NA,vault,bring your own drinking water
Roaring River Campground,45.157181,-122.114169,1e3,14,"Reservation season will be closing in September. ""No Services""",This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777).,"Camping: $19/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",May - Sept. 09/18,Medium,Vehicles 16 ft. max.,"Estacada, OR",Potable Water,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53018&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,potable water
Shellrock Creek Campground,45.0843,-121.921261,2200,8,NA,NA,"Camping: $19/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle",Jun - Sept. 03/18,Light,Vehicles 16 ft. max.,"Estacada, OR",No,No,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53034&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,no,no
Sunstrip Campground,45.1523,-122.106042,1e3,9,"No Reservation needed, still open with services.",This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777),"Camping: $22/night for single site, $8/ night for extra vehicle.
	Day use: $5/day/vehicle",April - Sept. 09/18,Light-Medium,Vehicles 18 ft. max.,"Estacada, OR",No,Vault Toilet,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53040&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
Barlow Creek Campground,45.236,-121.62765,3100,3,Closed for the season- blowdown. No services are provided - you must pack in/pack out,NA,"Camping: $12/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle","25 May, 2018 - 03 Sept, 2018",Light,NA,"Government Camp, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53134&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
Barlow Crossing Campground,45.21788,-121.61291,3600,6,,NA,"Camping: $12/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle","18 May, 2018 - 03 Sept. 2018",Light,NA,"Government Camp, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=53136&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
